11,49,2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Name,Pop,B124 - 1,,BTERN01 - 1,,BT28 - 1,,BT10 - 1,,BTMS0081 - 1,,BTMS0066 - 1,,BTMS062 - 1,,BTERN02 - 1,,BTMS086 - 1,,BTMS0044 - 1,,BTMS0059 - 1,
HUN_43_3_B_A01,NHB0,219,221,105,105,186,186,134,140,181,185,115,124,258,270,160,166,282,282,257,257,362,370
HUN_13_7_B_C01,NHB0,223,225,103,105,186,186,132,138,177,185,115,118,252,260,162,174,282,288,257,257,366,370
HUN_13_1_B_F09,NHB0,223,223,103,103,186,186,136,136,181,181,115,118,256,260,150,158,288,288,257,257,362,370
HUN_12_1_B_E11,NHB0,255,255,103,103,171,171,90,90,217,221,,,188,188,150,160,,,272,275,330,330
HUN_19_1B_PA_F01,HB0,223,225,105,105,186,186,138,142,181,185,115,118,252,266,150,158,279,282,257,257,362,362
HUN_23_2B_PA_B03,HB0,225,225,103,105,186,186,134,138,181,181,115,115,252,282,150,150,288,288,257,257,362,362
HB_007_1_B_G05,HB0,223,229,105,109,186,186,132,132,185,185,115,118,252,268,158,162,282,288,260,260,362,362
HB_007_2_B_F05,HB0,223,229,105,105,186,186,132,136,185,185,115,115,248,254,156,160,276,282,257,257,362,362
HB_007_3B_PA_B01,HB0,221,225,103,105,186,186,136,140,181,185,115,118,244,260,150,164,276,288,257,257,362,362
HB_023_B_D07,HB0,219,225,103,105,186,186,132,134,181,181,118,118,242,254,150,150,,,257,257,,
HB_027_E05,HB0,223,227,103,109,186,186,132,136,181,185,118,124,252,264,150,160,282,288,257,257,,
HIP_1B_PA_C01,HB0,225,225,105,107,186,186,132,132,181,185,124,124,242,250,150,160,,,,,,
HUN_049_C05,HB0,223,223,105,105,186,186,132,138,181,185,,,,,,,,,,,,
HUN_049_E07,HB0,223,223,103,103,186,186,154,154,181,181,115,115,248,248,158,158,282,282,257,257,362,362
HUN_049_G07,HB0,243,243,111,117,186,192,128,168,189,193,157,163,258,270,180,180,279,279,284,284,358,362
HUN_12_2_B_D11,NHB0,219,225,103,105,186,186,138,138,185,185,118,124,246,252,156,156,285,288,257,257,362,362
HUN_12_3_B_C09,NHB0,219,225,105,105,186,186,136,142,185,185,103,118,248,254,154,156,279,288,257,257,362,362
HUN_13_2_B_G09,NHB0,219,227,103,103,186,186,134,136,177,185,115,118,248,258,158,158,279,294,257,257,362,370
HUN_13_2_B_H01,NHB0,263,263,83,109,174,174,146,152,185,189,127,136,266,278,148,152,273,273,284,284,338,338
HUN_13_3_B_G01,NHB0,225,225,103,103,186,186,134,136,181,189,121,124,254,260,156,158,282,288,257,260,362,362
HUN_13_4_B_F01,NHB0,221,227,105,109,186,186,136,140,181,185,115,115,250,254,150,162,282,282,257,257,362,362
HUN_13_5_B_E01,NHB0,219,223,103,107,186,186,136,138,181,185,118,118,254,260,164,164,282,282,257,260,362,362
HUN_13_8_B_B01,NHB0,221,225,105,105,186,186,132,138,181,189,118,118,256,258,150,160,282,288,257,257,362,362
