Date,Time,Colony ID,Queen Weight,Estimated Weight,DeployDay,Bladder removed,Colony Weight (g),Bladder Weight (g),Workers_alive,Workers_dead,Queen-Right,Queen-Right-alpha,Other Bees,honeybee_dead,Compounding_Psythirus_count,Psythirus PA-alpha,Psythirus PA,Pollen Collected (Y/N),Site Location,Notes,Collector,Page Number,More Notes,outside box,inside box,Estimated Weight,Weight Change,Weight Change 0,Avg_Weight_Change,Gynes (P/A),Drones (P/A),Workers removed (weight)
 06/10,5:00pm,HUN007,0.5257,1849,1,0,530,1831,6,0,1,a,0,0,0,b,0,N,HB0,Deploy,,,*With orange gate,1319,526,1849,0,0,,,,
 06/10,5:00pm,HUN009,0.3728,1830,1,0,517,2804,20,0,1,a,0,0,0,b,0,N,HB0,Deploy,,,,1313,508,1830,0,0,,,,
 06/10,5:00pm,HUN010,0.4238,1846,1,0,540,2438,3,0,1,a,0,0,0,b,0,N,NHB0,Deploy,,,*Measure all colonies with lid,1306,540,1846,0,0,,,,
 06/10,5:00pm,HUN012,0.4087,1830,1,0,527,1957,10,0,1,a,0,0,0,b,0,N,NHB0,Deploy,,,,1303,514,1830,0,0,,,,
 06/10,5:00pm,HUN013,0.921,1802,1,0,488,2148,7,0,1,a,0,0,0,b,0,N,NHB0,Deploy,,,,1314,482,1802,0,0,,,,
 06/10,5:00pm,HUN019,0.426,1807,1,0,517,2318,8,0,1,a,0,0,0,b,0,N,HB0,,,,,1290,511,1807,0,0,,,,
 06/10,5:00pm,HUN023,0.873,1837,1,0,514,2087,7,0,1,a,0,0,0,b,0,N,HB0,,,,,1323,508,1837,0,0,,,,
 06/10,5:00pm,HUN026,0.946,1882,1,0,518,2218,11,0,1,a,0,0,0,b,0,N,HB0,,,,,1364,,1882,0,0,,,,
 06/10,5:00pm,HUN027,0.444,1775,1,0,478,2440,5,0,1,a,0,0,0,b,0,N,HB0,,,,,1297,,1775,0,0,,,,
 06/10,5:00pm,HUN037,0.524,1829,1,0,547,2326,4,0,1,a,0,0,0,b,0,N,HB0,,,,*when dead is removed: remove 1g from overall weight,1282,542,1829,0,0,,,,
